"PointID","x","y","Density_0","Density_1","Density_2","Momentum_x","Momentum_y","Energy","Energy_ve"
2650, 4.841414022161696e-02, 1.091110042332038e-03, 1.309228925939507e-01, 9.893417576369607e-04, 1.318707275356800e-13, 2.499385175077861e+01, 1.194718009472515e+00, 1.427638987726037e+05, 1.054735261499187e+03
2651, 3.312652044099750e-02, 1.188938352319282e-03, 1.565349835617586e+00, 1.182884006764008e-02, 1.576538397294097e-12, 7.297086935408139e+01, 5.578808977270463e-01, -1.131616936783581e+05, 3.640544274329955e-04
2652, 4.535061893138735e-02, 1.648210810649402e-03, 1.604402524943596e-01, 1.212394855121108e-03, 1.616476598689321e-13, 2.963883814810418e+01, 2.212843393994237e+00, 1.378640477080820e+05, 3.603952255194213e+02
2653, 3.109839696983984e-02, 3.236528500480704e-03, 1.528604329122387e+00, 1.155116621503160e-02, 1.539459130769522e-12, 2.171248998935492e+01, 4.896848094520974e-01, -1.072642511078330e+05, 3.555115052571964e-04
2654, 5.781456550719748e-02, 1.256146470709002e-03, 9.649805110632306e-02, 7.292044164205213e-04, 9.724623960016961e-14, 7.820723832550374e+00, 1.244866634464686e+00, 1.497824004026904e+05, 3.965363564130934e+03
2655, 5.204045505068315e-02, 4.346620643615722e-03, 2.276672694544307e-01, 1.720407577741753e-03, 2.291042349991498e-13, 9.970079944713843e+00, 8.199648800095261e+00, 1.233873003718224e+05, 1.108973679320923e+03
2656, 2.832186686416196e-02, 3.421358054060537e-03, 1.550030557334657e+00, 1.171307725945686e-02, 1.561012039314394e-12, 1.277836310653167e+01, -2.095305888005280e+00, -1.090843949246645e+05, 3.604934555139831e-04
2657, 5.882980305764209e-02, 5.020988032634701e-03, 3.162068704074916e-01, 2.389472572353407e-03, 3.151285931186215e-13, 2.614017355048551e+00, 1.600031622594991e+01, 1.097323932548489e+05, 1.787693950299707e+03
2658, 4.660784032683464e-02, 1.236814702461907e-03, 1.458387670026496e-01, 1.102056173823713e-03, 1.468006780280659e-13, 2.813975806017078e+01, 1.489413166245139e+00, 1.402159802895931e+05, 5.994595054719198e+02
2659, 4.442771045425059e-02, 1.110950264833980e-03, 1.712506899245863e-01, 1.294085818070046e-03, 1.724462881409734e-13, 3.409581562934634e+01, 1.384728657888777e+00, 1.366162123088954e+05, 2.441850369999186e+02
2660, 2.769955879035440e-02, 3.325584377913924e-03, 1.555431072099390e+00, 1.175388719470663e-02, 1.566510303076137e-12, 2.380510299880789e+01, -4.141990303205400e+00, -1.096017325653703e+05, 3.617481706038584e-04
2661, 2.778024559297010e-02, 9.990803281984609e-04, 1.579760224819254e+00, 1.193773469636807e-02, 1.591026529125816e-12, 6.582009426997783e+01, -3.448068764898241e+00, -1.133386201063557e+05, 3.674084453424445e-04
2662, 1.574857246698584e-02, 4.555816702367540e-03, 1.734155189978628e+00, 1.310444727943622e-02, 1.746583848254700e-12, 4.297539332566614e+01, -2.055408258023598e+00, -1.232584701472715e+05, 4.033158274366861e-04
2663, 2.516208516030185e-02, 1.194986063895620e-03, 1.588404552287506e+00, 1.200305707018354e-02, 1.599746639822727e-12, 4.720218935496108e+01, -5.735721128356175e+00, -1.139206775659444e+05, 3.694136146546845e-04
2664, 4.093393570077469e-02, 1.493051193546321e-03, 2.443337766353769e-01, 1.846350956942583e-03, 2.460632310618070e-13, 4.082775040707870e+01, 1.840685664767705e+00, 1.260347157090886e+05, 2.736739559588801e+01
2665, 7.457769107517564e-02, 7.535525292601307e-04, 1.071820448641163e+00, 8.099398856230851e-03, 1.079732638369092e-12, -2.312875413124824e+01, 6.915209352824252e-02, -3.744528095400804e+04, 2.590210611344641e-04
2666, 2.297570995318896e-02, 1.709870167581965e-03, 1.590175705056505e+00, 1.201644109614579e-02, 1.601467821037977e-12, 2.877511844415721e+01, -1.234788527591182e+01, -1.137226651018390e+05, 3.698274282529448e-04
2667, 5.670401185380938e-02, 9.420047999582916e-04, 9.686619633127840e-02, 7.319863702615460e-04, 9.759214424951875e-14, 1.000207688272941e+01, 8.165075897050844e-01, 1.497079136957240e+05, 3.845176078031264e+03
2668, 2.174506751063780e-02, 2.125012456242678e-03, 1.578168287027872e+00, 1.192570493975790e-02, 1.589562058830124e-12, 1.800557796838755e+01, -1.586162199823803e+01, -1.117580989069232e+05, 3.670367665154265e-04
2669, 2.422099636617259e-02, 9.887209693587380e-04, 1.581478549498880e+00, 1.195071951762475e-02, 1.592695594902551e-12, 3.674603568638643e+01, -7.218539895017327e+00, -1.124290421770634e+05, 3.678043312987647e-04
2670, 4.672364489989743e-02, 9.467583613412353e-04, 1.444263403672966e-01, 1.091382924690080e-03, 1.453714135171759e-13, 2.910987889555633e+01, 1.133594695134527e+00, 1.406949434970604e+05, 6.293771716262854e+02
2671, 6.141401784186112e-02, 1.417786031079943e-03, 1.154247361403566e-01, 8.722272252420358e-04, 1.162961964581510e-13, 3.424854222634926e+00, 1.378474705691370e+00, 1.450125475710901e+05, 3.259760133348561e+03
2672, 4.236845087962784e-02, 3.710935799865079e-03, 2.839384107893830e-01, 2.145630308230535e-03, 2.872228491305459e-13, 2.195117010490724e+01, 9.328445185379421e+00, 1.159955793341771e+05, 4.048096347203739e+01
2673, 5.906227460926219e-02, 1.307171556037213e-03, 9.710867688381343e-02, 7.338187170062613e-04, 9.774408378420637e-14, 5.876927455458415e+00, 9.993046422824653e-01, 1.494579041051794e+05, 3.964363349011865e+03
2674, 3.795100844718100e-02, 1.213436685751739e-03, 4.142278710057832e-01, 3.130185423217728e-03, 4.172454605748929e-13, 4.747981851048146e+01, 1.237477690283194e+00, 9.867815142037689e+04, 5.027585075147623e-01
2675, 2.185997605062810e-02, 2.544931471777593e-03, 1.598173006215097e+00, 1.207687410238181e-02, 1.609677360845863e-12, 3.275933829697054e+01, -1.882944075706824e+01, -1.147941706498291e+05, 3.716881781107550e-04
2676, 4.331556801412551e-02, 1.146807422717857e-03, 1.890181887054686e-01, 1.428349033038961e-03, 1.903415317628201e-13, 3.674434235790446e+01, 1.492644211533802e+00, 1.342002781072568e+05, 1.356515026912577e+02
2677, 4.347122878995299e-02, 1.275900368150916e-03, 1.864757146083683e-01, 1.409136382431118e-03, 1.878044461782769e-13, 3.588375441939093e+01, 1.671305582136503e+00, 1.344796976069839e+05, 1.479169574728537e+02
2678, 2.097453674542199e-02, 2.689967811579603e-03, 1.579343704965630e+00, 1.193458719117670e-02, 1.590760577696529e-12, 1.631329287601292e+01, -1.251433971922673e+01, -1.115996134388198e+05, 3.673109676014967e-04
2679, 1.471251434513804e-02, 5.485362890678680e-03, 1.753843256482594e+00, 1.325322360062494e-02, 1.766357587711818e-12, 3.347174799005978e+01, -5.377166404155084e+00, -1.237119587614912e+05, 4.078953200299915e-04
2680, 3.086541968803491e-02, 9.400275333152207e-04, 1.568946056165742e+00, 1.185601553777731e-02, 1.580133228536914e-12, 8.195990532481116e+01, -6.960236501847022e-01, -1.127082925336853e+05, 3.648920569605601e-04
2681, 1.710224572451934e-02, 4.391407802544781e-03, 1.697359105722133e+00, 1.282639122712023e-02, 1.709439007827460e-12, 5.082061195774591e+01, -4.255733517995633e+00, -1.204162660413788e+05, 3.947579687422314e-04
2682, 5.813151474545930e-02, 1.850339132791111e-03, 9.987283156489170e-02, 7.547065357548497e-04, 1.005945591192085e-13, 6.814374564517961e+00, 1.691198103699905e+00, 1.489072554244860e+05, 3.804108504995706e+03
2683, 4.597737696205392e-02, 1.343239362390266e-03, 1.527773109462668e-01, 1.154488495815712e-03, 1.538510838756357e-13, 2.938841672350527e+01, 1.845671899627738e+00, 1.390843548948825e+05, 4.681932771216209e+02
2684, 5.116250409093140e-02, 1.672422620837918e-03, 1.177271644971384e-01, 8.896259281899858e-04, 1.186331601674268e-13, 1.801829306203760e+01, 1.675563088701531e+00, 1.447808255175281e+05, 1.872310421955682e+03
2685, 3.491001751274736e-02, 9.561994934641055e-04, 1.547390674584163e+00, 1.169312852330807e-02, 1.557364600566729e-12, 3.961322735748475e+01, 1.522537727539574e+01, -1.182406401481610e+05, 3.598633473945983e-04
2686, 1.813589272269039e-02, 4.918583138673685e-03, 1.668198536275104e+00, 1.260603427915774e-02, 1.680113728180664e-12, 4.800735928743533e+01, -9.731396661065860e+00, -1.183607774776341e+05, 3.879759806635142e-04
2687, 5.442925340741961e-02, 1.374045711025565e-03, 1.041353060923609e-01, 7.869166707230250e-04, 1.050226662388107e-13, 1.309220386342913e+01, 1.288562294275285e+00, 1.478148262780702e+05, 3.086280823986110e+03
2688, 2.255080105788520e-02, 1.274247819781816e-03, 1.575409139341794e+00, 1.190485495724366e-02, 1.586638959720814e-12, 1.569288348583903e+01, -9.252999083053982e+00, -1.111846151179740e+05, 3.663947709753880e-04
2689, 5.286736829696528e-02, 3.916761015200078e-03, 1.662596897793274e-01, 1.256370451732607e-03, 1.677894221877034e-13, 1.081498599624547e+01, 5.171187583048294e+00, 1.347263499506392e+05, 1.548913959346559e+03
2690, 2.152260325582756e-02, 2.465542824649581e-03, 1.584399006661631e+00, 1.197278846343869e-02, 1.595835025542011e-12, 2.437341573415700e+01, -1.835413360160324e+01, -1.125984702818762e+05, 3.684856991377816e-04
